playerID,Total_Wins,Total_Losses,Total_Games,Win_Percentage,First_Yr_Mgr,Last_Yr_Mgr,Yrs_As_Mgr,Avg_Rank
fitzsfr01,104.0,180.0,286.0,0.36363636363636365,1943.0,1945.0,3.0,7.666666666666667
fletcar01,237.0,383.0,623.0,0.38041733547351525,1923.0,1929.0,5.0,6.2
flintsi01,5.0,12.0,19.0,0.2631578947368421,1879.0,1879.0,1.0,4.0
fogarji01,7.0,9.0,16.0,0.4375,1890.0,1890.0,1.0,5.0
fogelho99,38.0,72.0,114.0,0.3333333333333333,1887.0,1902.0,2.0,8.0
fohlle01,713.0,792.0,1521.0,0.46877054569362264,1915.0,1926.0,11.0,4.818181818181818
fonsele01,120.0,196.0,318.0,0.37735849056603776,1932.0,1934.0,3.0,7.0
foutzda01,264.0,257.0,532.0,0.49624060150375937,1893.0,1896.0,4.0,6.75
foxch01,377.0,371.0,748.0,0.5040106951871658,1970.0,1983.0,7.0,4.0
francte01,1667.0,1409.0,3076.0,0.5419375812743823,1997.0,2019.0,19.0,2.473684210526316
frankhe01,605.0,521.0,1128.0,0.5363475177304965,1965.0,1979.0,7.0,2.857142857142857
frazege99,51.0,65.0,117.0,0.4358974358974359,1890.0,1890.0,2.0,6.0
frazijo01,101.0,106.0,207.0,0.48792270531400966,1976.0,1977.0,2.0,4.5
fregoji01,1028.0,1095.0,2123.0,0.4842204427696656,1978.0,2000.0,15.0,3.7333333333333334
freyji99,323.0,287.0,611.0,0.5286415711947627,1980.0,1986.0,5.0,2.4
friscfr01,1138.0,1078.0,2246.0,0.5066785396260017,1933.0,1951.0,16.0,4.5625
fuchsju99,56.0,98.0,154.0,0.36363636363636365,1929.0,1929.0,1.0,8.0
gaffnjo99,61.0,101.0,169.0,0.3609467455621302,1886.0,1887.0,2.0,7.5
galanma99,13.0,14.0,27.0,0.48148148148148145,1999.0,1999.0,1.0,2.0
galvipu01,7.0,17.0,24.0,0.2916666666666667,1885.0,1885.0,1.0,7.0
ganzejo01,90.0,99.0,190.0,0.47368421052631576,1908.0,1915.0,2.0,6.0
garcida99,307.0,310.0,617.0,0.49756888168557534,1977.0,1982.0,6.0,5.166666666666667
gardero01,1179.0,1251.0,2430.0,0.48518518518518516,2002.0,2019.0,15.0,2.7333333333333334
gardnbi02,330.0,417.0,747.0,0.44176706827309237,1981.0,1987.0,6.0,4.333333333333333
garneph01,985.0,1054.0,2041.0,0.4826065654091132,1992.0,2007.0,15.0,3.8666666666666667
gastoci01,894.0,837.0,1731.0,0.5164644714038128,1989.0,2010.0,13.0,2.769230769230769
gerenbo01,334.0,376.0,710.0,0.4704225352112676,2007.0,2011.0,5.0,3.2
gerhajo01,72.0,61.0,136.0,0.5294117647058824,1883.0,1890.0,2.0,4.0
gessldo01,3.0,8.0,11.0,0.2727272727272727,1914.0,1914.0,1.0,7.0
gibbojo02,793.0,789.0,1582.0,0.5012642225031606,2004.0,2018.0,11.0,3.3636363636363638
gibsoge01,413.0,344.0,759.0,0.544137022397892,1920.0,1934.0,7.0,3.7142857142857144
gibsoki01,353.0,375.0,728.0,0.4848901098901099,2010.0,2014.0,5.0,3.2
giffoji99,74.0,136.0,212.0,0.3490566037735849,1884.0,1886.0,3.0,8.333333333333334
girarjo01,988.0,794.0,1782.0,0.5544332210998878,2006.0,2017.0,11.0,2.272727272727273
glassja01,35.0,35.0,71.0,0.49295774647887325,1889.0,1892.0,2.0,8.0
gleaski01,392.0,364.0,759.0,0.5164690382081687,1919.0,1923.0,5.0,4.4
gomezpr01,346.0,529.0,875.0,0.3954285714285714,1969.0,1980.0,7.0,5.714285714285714
gonzafr99,710.0,692.0,1402.0,0.5064194008559201,2007.0,2016.0,10.0,3.0
gonzami01,9.0,13.0,23.0,0.391304347826087,1938.0,1940.0,2.0,4.5
gordojo01,305.0,308.0,615.0,0.4959349593495935,1958.0,1969.0,6.0,4.833333333333333
gorege01,6.0,9.0,16.0,0.375,1892.0,1892.0,1.0,11.0
goryljo01,34.0,38.0,73.0,0.4657534246575342,1980.0,1981.0,2.0,5.0
gouldch01,11.0,77.0,88.0,0.125,1875.0,1876.0,2.0,8.0
gowdyha01,3.0,1.0,4.0,0.75,1946.0,1946.0,1.0,6.0
graffma99,39.0,17.0,56.0,0.6964285714285714,1876.0,1876.0,1.0,2.0
grammal01,137.0,191.0,328.0,0.4176829268292683,1969.0,1977.0,3.0,5.0
greenan01,274.0,366.0,640.0,0.428125,2016.0,2019.0,4.0,4.75
greenda02,454.0,478.0,932.0,0.4871244635193133,1979.0,1996.0,8.0,3.375
griffcl01,1491.0,1367.0,2918.0,0.5109664153529815,1901.0,1920.0,20.0,4.3
griffmi01,1.0,3.0,4.0,0.25,1898.0,1898.0,1.0,10.0
griffsa01,2.0,4.0,6.0,0.3333333333333333,1891.0,1891.0,1.0,8.0
grimebu01,131.0,171.0,306.0,0.42810457516339867,1937.0,1938.0,2.0,6.5
grimmch01,1287.0,1067.0,2368.0,0.5434966216216216,1932.0,1960.0,19.0,3.526315789473684
grohhe01,7.0,3.0,10.0,0.7,1918.0,1918.0,1.0,3.0
guilloz01,747.0,710.0,1457.0,0.5126973232669869,2004.0,2012.0,9.0,2.6666666666666665
guttedo01,109.0,172.0,281.0,0.3879003558718861,1969.0,1970.0,2.0,5.5
haased01,50.0,71.0,121.0,0.4132231404958678,1985.0,1985.0,1.0,5.0
hackech99,50.0,99.0,150.0,0.3333333333333333,1884.0,1885.0,2.0,6.0
hackst01,199.0,272.0,475.0,0.4189473684210526,1954.0,1958.0,4.0,6.5
halech01,148.0,176.0,324.0,0.4567901234567901,2015.0,2016.0,2.0,3.5
hallmbi01,13.0,36.0,50.0,0.26,1897.0,1897.0,1.0,12.0
haneyfr01,629.0,757.0,1393.0,0.4515434314429289,1939.0,1959.0,10.0,5.0
hanlone01,1313.0,1164.0,2530.0,0.5189723320158103,1889.0,1907.0,19.0,4.315789473684211
hardeme01,3.0,0.0,3.0,1.0,1961.0,1962.0,2.0,5.5
hargrmi01,1188.0,1173.0,2363.0,0.5027507405840034,1991.0,2007.0,16.0,3.1875
harrato01,32.0,44.0,76.0,0.42105263157894735,1992.0,1992.0,1.0,4.0
harrebu01,145.0,129.0,274.0,0.5291970802919708,1990.0,1991.0,2.0,3.5
harribu01,2158.0,2219.0,4410.0,0.48934240362811793,1924.0,1956.0,29.0,4.862068965517241
harrilu01,466.0,488.0,956.0,0.4874476987447699,1961.0,1972.0,8.0,4.875
hartji99,202.0,174.0,383.0,0.5274151436031331,1885.0,1889.0,3.0,4.0
hartjo99,8.0,11.0,19.0,0.42105263157894735,1989.0,1989.0,1.0,6.0
hartnga01,203.0,176.0,383.0,0.5300261096605744,1938.0,1940.0,3.0,3.3333333333333335
hartsro01,166.0,318.0,484.0,0.34297520661157027,1977.0,1979.0,3.0,7.0
hastisc01,10.0,35.0,45.0,0.2222222222222222,1871.0,1872.0,2.0,8.0
hatfijo01,35.0,31.0,68.0,0.5147058823529411,1872.0,1873.0,2.0,3.5
hattogr01,164.0,221.0,386.0,0.42487046632124353,1966.0,1968.0,3.0,9.0
heckegu01,23.0,113.0,138.0,0.16666666666666666,1890.0,1890.0,1.0,8.0
heffndo01,37.0,46.0,83.0,0.4457831325301205,1966.0,1966.0,1.0,7.0
heilblo99,23.0,25.0,50.0,0.46,1900.0,1900.0,1.0,5.0
helmsto01,28.0,36.0,64.0,0.4375,1988.0,1989.0,2.0,3.5
hemusso01,190.0,192.0,384.0,0.4947916666666667,1959.0,1961.0,3.0,5.0
